key,zh,en,ja,de,fr,es,ru
appearanceSidebarOpacityHint,设置左侧词书/导航栏的透明度。,Set transparency for the left wordbook/navigation module.,左側の単語帳/ナビゲーションモジュールの透明度を設定します。,Transparenz für das linke Wörterbuch-/Navigationsmodul festlegen.,Définir la transparence pour le module de carnet de mots/navigation à gauche.,Establece la transparencia para el módulo de libro de palabras/navegación izquierdo.,Установить прозрачность для модуля словаря/навигации слева.
appearanceThemeTitle,主题,Theme,テーマ,Thema,Thème,Tema,Тема
appearanceTimerStyle,计时器样式,Timer style,タイマースタイル,Timer-Stil,Style du minuteur,Estilo del temporizador,Стиль таймера
appearanceTimerStyleHint,选择专注页面上计时器的显示样式。,Choose how the focus timer looks on the focus page.,フォーカスページでフォーカスタイマーの見た目を選択します。,"Wählen, wie der Fokus-Timer auf der Fokus-Seite aussieht.",Choisir l'apparence du minuteur de concentration sur la page de concentration.,Elige cómo se ve el temporizador de enfoque en la página de enfoque.,"Выберите, как будет выглядеть таймер фокуса на странице фокуса."
appearanceTitleWeight,标题粗细,Title weight,タイトルの太さ,Titelgewicht,Poids du titre,Grosor del título,Толщина заголовка
appearanceTypographyTitle,排版,Typography,タイポグラフィ,Typografie,Typographie,Tipografía,Типографика
appearanceWeightBold,加粗,Bold,太字,Fett,Gras,Negrita,Жирный
appearanceWeightMedium,中等,Medium,ミディアム,Mittel,Moyen,Medio,Средний
appearanceWeightRegular,常规,Regular,レギュラー,Regulär,Régulier,Regular,Регулярный
appearanceWeightSemibold,半粗体,Semibold,セミボールド,Halbfett,Semi-gras,Seminegrita,Полужирный
appearanceWordTransitionStyle,单词切换动画,Word switch effect,単語切替エフェクト,Wortwechsel-Effekt,Effet de changement de mot,Efecto de cambio de palabra,Эффект смены слов
appearanceWordTransitionStyleHint,选择左或右切换时当前单词的变化方式。,Choose how the current word changes when you switch left or right.,左右に切り替えたときの現在の単語の変化方法を選択してください。,"Wähle, wie sich das aktuelle Wort ändert, wenn du nach links oder rechts wechselst.",Choisissez comment le mot actuel change lorsque vous basculez vers la gauche ou la droite.,Elige cómo cambia la palabra actual cuando cambias a la izquierda o derecha.,"Выберите, как текущее слово изменяется при переключении влево или вправо."
applyToAllNonCore,应用到所有项,Apply to All,すべてに適用,Auf alle anwenden,Appliquer à tout,Aplicar a todo,Применить ко всем
appShell.remotePrewarm.failedTitle,后台预热失败,Background prewarm failed,Background prewarm failed,Background prewarm failed,Background prewarm failed,Background prewarm failed,Background prewarm failed
appShell.remotePrewarm.runningTitle,正在后台预热资源,Prewarming resources in background,Prewarming resources in background,Prewarming resources in background,Prewarming resources in background,Prewarming resources in background,Prewarming resources in background
appTitle,咸鱼声息,咸鱼声息,咸魚声息,Salziges Fischgeräusch,Son de poisson salé,Sonido de pez salado,Звуки соли и рыбы
arb.all,Alle,Alle,Alle,Alle,Alle,Alle,Alle
arb.all_525a3c,全て,全て,全て,全て,全て,全て,全て
arb.all_956629,Todo,Todo,Todo,Todo,Todo,Todo,Todo
arb.all_99c1f2,全部,All,すべて,Alle,Tous,Todo,Все
arb.all_a8b5be,全部,全部,すべて,Alle,Tout,Todo,Все
arb.all_c3c663,Tous,Tous,Tous,Tous,Tous,Tous,Tous
arb.appTitle,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息
arb.appTitle_13517b,咸鱼声息,咸鱼声息,咸魚声息,Salziges Fischgeräusch,Son de poisson salé,Sonido de pez salado,Звуки соли и рыбы
arb.appTitle_28b638,咸鱼声息,咸鱼声息,咸魚声息,Salziges Fischgeräusch,Son de poisson salé,Sonido de pez salado,Звуки соли и рыбы
arb.appTitle_305dfb,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息
arb.appTitle_6ed77f,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息
arb.appTitle_beb850,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息,咸鱼声息
arb.asrApiRequestFailed,ASR-API-Anfrage fehlgeschlagen ({code}). {body},ASR-API-Anfrage fehlgeschlagen ({code}). {body},ASR-API-Anfrage fehlgeschlagen ({code}). {body},ASR-API-Anfrage fehlgeschlagen ({code}). {body},ASR-API-Anfrage fehlgeschlagen ({code}). {body},ASR-API-Anfrage fehlgeschlagen ({code}). {body},ASR-API-Anfrage fehlgeschlagen ({code}). {body}
arb.asrApiRequestFailed_0f7eda,La solicitud de API de ASR falló ({code}). {body},La solicitud de API de ASR falló ({code}). {body},La solicitud de API de ASR falló ({code}). {body},La solicitud de API de ASR falló ({code}). {body},La solicitud de API de ASR falló ({code}). {body},La solicitud de API de ASR falló ({code}). {body},La solicitud de API de ASR falló ({code}). {body}
arb.asrApiRequestFailed_263238,La requête API ASR a échoué ({code}). {body},La requête API ASR a échoué ({code}). {body},La requête API ASR a échoué ({code}). {body},La requête API ASR a échoué ({code}). {body},La requête API ASR a échoué ({code}). {body},La requête API ASR a échoué ({code}). {body},La requête API ASR a échoué ({code}). {body}
arb.asrApiRequestFailed_5c4717,ASR API リクエストが失敗しました ({code})。 {body},ASR API リクエストが失敗しました ({code})。 {body},ASR API リクエストが失敗しました ({code})。 {body},ASR API リクエストが失敗しました ({code})。 {body},ASR API リクエストが失敗しました ({code})。 {body},ASR API リクエストが失敗しました ({code})。 {body},ASR API リクエストが失敗しました ({code})。 {body}
arb.asrApiRequestFailed_966bc5,ASR API 请求失败（状态码：{code}）,ASR API 请求失败（状态码：{code}）,ASR API リクエスト失敗（ステータスコード：{code}）,ASR-API-Anfrage fehlgeschlagen (Statuscode: {code}),Échec de la requête API ASR (code d'état: {code}),Solicitud de API ASR fallida (código de estado: {code}),Запрос к ASR API не удался (код состояния: {code})
arb.asrApiRequestFailed_d11a38,ASR API 请求失败：{code},ASR API request failed: {code},ASR API リクエストに失敗しました: {code},ASR-API-Anfrage fehlgeschlagen: {code},Échec de la requête API ASR: {code},Solicitud de API ASR fallida: {code},Запрос к ASR API не удался: {code}
arb.asrDisabled,ASR ist deaktiviert.,ASR ist deaktiviert.,ASR ist deaktiviert.,ASR ist deaktiviert.,ASR ist deaktiviert.,ASR ist deaktiviert.,ASR ist deaktiviert.
arb.asrDisabled_251ca0,ASR está deshabilitado.,ASR está deshabilitado.,ASR está deshabilitado.,ASR está deshabilitado.,ASR está deshabilitado.,ASR está deshabilitado.,ASR está deshabilitado.
arb.asrDisabled_94eb9f,L'ASR est désactivé.,L'ASR est désactivé.,L'ASR est désactivé.,L'ASR est désactivé.,L'ASR est désactivé.,L'ASR est désactivé.,L'ASR est désactivé.
arb.asrDisabled_ba6d7d,ASR は無効になっています。,ASR は無効になっています。,ASR は無効になっています。,ASR は無効になっています。,ASR は無効になっています。,ASR は無効になっています。,ASR は無効になっています。
arb.asrDisabled_e4e3e4,ASR已被禁用,ASR is disabled,ASR は無効,ASR ist deaktiviert,ASR est désactivé,ASR está deshabilitado,ASR отключен
arb.asrDisabled_f939b1,ASR 已禁用,ASR 已禁用,ASR は無効,ASR ist deaktiviert,ASR désactivé,ASR ha sido deshabilitado,ASR отключен
arb.asrProgressDecoding,Sprache wird erkannt...,Sprache wird erkannt...,Sprache wird erkannt...,Sprache wird erkannt...,Sprache wird erkannt...,Sprache wird erkannt...,Sprache wird erkannt...
arb.asrProgressDecoding_403ca4,Reconnaître la parole...,Reconnaître la parole...,Reconnaître la parole...,Reconnaître la parole...,Reconnaître la parole...,Reconnaître la parole...,Reconnaître la parole...
